dataset,group,group_color,modality,dotpath,unit,value
NL-fMRI,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
NL-fMRI,Tasks,#538135,Video,tasks.video.per_subject_unique,h,
NL-fMRI,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,9.3
NL-fMRI,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,9.3
NL-fMRI,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
NL-fMRI,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
NL-fMRI,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,
NL-fMRI,Tasks,#538135,Games,tasks.game.per_subject_h,h,
NL-fMRI,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,
NL-fMRI,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
NL-fMRI,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,
NL-fMRI,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,
NL-fMRI,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,
NL-fMRI,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,
NOD,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,
NOD,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,1.26
NOD,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,0.83
NOD,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
NOD,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
NOD,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,1900.0
NOD,Tasks,#538135,Video,tasks.video.per_subject_unique,h,
NOD,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,
NOD,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,
NOD,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
NOD,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
NOD,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,
NOD,Tasks,#538135,Games,tasks.game.per_subject_h,h,
NOD,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,
NOD,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
NOD,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,
NOD,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,
NOD,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,
NOD,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,
NSD,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,35.5
NSD,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
NSD,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,
NSD,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
NSD,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
NSD,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,10000.0
NSD,Tasks,#538135,Video,tasks.video.per_subject_unique,h,
NSD,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,
NSD,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,
NSD,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
NSD,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,2.3
NSD,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,35.5
NSD,Tasks,#538135,Games,tasks.game.per_subject_h,h,
NSD,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,22.0
